Vertices:
---------

Vertex 147: (-0.305322, -0.113195, -1.39758, 0, 0.513858, 0.857875, 0.780258, -0.691055)
Vertex 148: (0.356128, -0.334132, -1.26524, 0, 0.513858, 0.857875, 0.717594, -0.69988)
Vertex 149: (0.356128, -0.176329, -0.780043, 0, 0.676821, -0.736148, 0.717771, -0.730922)
Vertex 150: (0.356128, -0.365916, -0.954351, 0, 0.676821, -0.736148, 0.717707, -0.71977)
Vertex 151: (-0.305322, -0.365916, -0.954351, 0, 0.676821, -0.736148, 0.78042, -0.719412)
Vertex 152: (0.356128, -0.176329, -0.780043, -1, 0, 0, 0.717771, -0.730922)
Vertex 153: (0.356128, -0.365916, -0.954351, -1, 0, 0, 0.717707, -0.71977)
Vertex 154: (-0.324375, 0.384325, -1.2369, 0, 0.995545, 0.094289, 0.782123, -0.701326)
Vertex 155: (0.247847, 0.503541, -0.762633, 0.432857, 0.807272, -0.401182, 0.728043, -0.731977)
Vertex 156: (0.372827, 0.354953, -0.926779, 0.432857, 0.807272, -0.401182, 0.716134, -0.721543)
Vertex 157: (0.372827, 0.354953, -0.926779, 0.837833, 0.53617, 0.102751, 0.686337, -0.583132)
Vertex 158: (-0.323268, 0.453416, -1.88903, 0, 0.997522, 0.070347, 0.781781, -0.659604)
Vertex 159: (0.371759, 0.433134, -1.60143, 0.849402, 0.516334, 0.109159, 0.700102, -0.684197)
Vertex 160: (-0.253817, 0.453416, -1.88903, 0.995006, -0.09937, -0.009394, 0.775196, -0.659641)
Vertex 161: (-0.254703, 0.384325, -1.2369, 0.995135, -0.098012, -0.01002, 0.775518, -0.701363)
Vertex 162: (0.303624, 0.354953, -0.926779, -0.994755, -0.101085, -0.015617, 0.722695, -0.721506)
Vertex 163: (0.356128, -0.365916, -0.954351, -1, 0, 0, 0.717707, -0.71977)
Vertex 164: (0.356128, -0.334132, -1.26524, -1, 0, 0, 0.717594, -0.69988)
Vertex 165: (0.302769, 0.433134, -1.60143, -0.994728, -0.101645, -0.013577, 0.72253, -0.678342)
Vertex 166: (0.356128, -0.296094, -1.6084, -1, 0, 0, 0.717469, -0.677925)
Vertex 167: (0.356128, -0.267741, -1.90832, -1, 0, 0, 0.71736, -0.658737)
Vertex 168: (-0.320955, 0.433134, -1.60143, -0.141911, 0.799824, -0.583218, 0.781666, -0.678005)
Vertex 169: (-0.155154, 0.579488, -1.44106, -0.069126, 0.983432, -0.167579, 0.766005, -0.688355)
Vertex 170: (-0.155154, 0.579488, -1.44106, 0.976547, -0.214348, -0.020264, 0.766005, -0.688355)
Vertex 171: (-0.305322, -0.296094, -1.6084, 1, 0, 0, 0.780182, -0.677568)
Vertex 172: (0.304622, 0.453416, -1.88903, 0, 0.615561, 0.788089, 0.72225, -0.659943)
Vertex 173: (0.374073, 0.453416, -1.88903, 0, 0.615561, 0.788089, 0.715665, -0.659981)
Vertex 174: (0.20838, 0.642622, -2.03681, -0.91739, -0.196164, 0.346287, 0.731321, -0.650436)
Vertex 175: (0.356128, -0.048342, -2.03681, -0.965892, -0.159283, 0.204162, 0.717313, -0.650516)
Vertex 176: (0.356128, -0.267741, -1.90832, -1, 0, 0, 0.71736, -0.658737)
Vertex 177: (0.356128, -0.048342, -2.03681, -1, 0, 0, 0.717313, -0.650516)
Vertex 178: (0.37518, 0.384325, -1.2369, 0.230131, 0.746346, 0.624505, 0.715798, -0.701704)
Vertex 179: (0.205959, 0.570954, -1.39758, -0.920142, -0.201969, 0.335482, 0.731783, -0.691332)
Vertex 180: (0.356128, -0.113195, -1.39758, -0.966035, -0.163039, 0.200486, 0.717545, -0.691413)
Vertex 181: (0.356128, -0.334132, -1.26524, -1, 0, 0, 0.717594, -0.69988)
Vertex 182: (0.356128, -0.113195, -1.39758, -1, 0, 0, 0.717545, -0.691413)
Vertex 183: (-0.322022, 0.354953, -0.926779, 0, 0.632861, -0.774266, 0.782013, -0.721168)
Vertex 184: (-0.152734, 0.507819, -0.801831, 0, 0.632861, -0.774266, 0.766008, -0.729253)
Vertex 185: (-0.152734, 0.507819, -0.801831, 0.975625, -0.218308, -0.022319, 0.766008, -0.729253)
Vertex 186: (-0.305322, -0.365916, -0.954351, 1, 0, 0, 0.78042, -0.719412)
Vertex 187: (0.435276, 0.357646, -2.36707, 0.997456, -0.009298, -0.070678, 0.688022, -0.799051)
Vertex 188: (0.435276, 0.357646, -2.36707, 0.998134, -0.059499, -0.013735, 0.688022, -0.799051)
Vertex 189: (0.425848, -0.511328, -1.03054, 0.999989, -0.000299, 0.004708, 0.540292, -0.59952)
Vertex 190: (0.127371, -0.267921, 2.96532, 0.996995, 2e-06, 0.077462, 0.577939, -0.159335)
Vertex 191: (0.127371, 0.058052, 2.96531, 0.996995, 2e-06, 0.077462, 0.632928, -0.159023)
Vertex 192: (0.371759, 0.433134, -1.60143, 0.893188, 0.448008, 0.038781, 0.700102, -0.684197)
Vertex 193: (0.25087, 0.575209, -1.41922, 0.831739, 0.539441, 0.131204, 0.723913, -0.656744)
Vertex 194: (0.25087, 0.575209, -1.41922, 0.838991, 0.54414, -0.002344, 0.723913, -0.656744)
Vertex 195: (0.372827, 0.354953, -0.926779, 0.882523, 0.467499, 0.050974, 0.686337, -0.583132)
Vertex 196: (-0.200065, 0.575209, -1.41922, -0.20569, 0.78693, 0.58175, 0.770271, -0.689728)
Vertex 197: (0.253892, 0.646877, -2.0758, 0.385611, 0.75355, 0.532416, 0.726992, -0.647967)
Vertex 198: (0.304622, 0.453416, -1.88903, 0, 0.997522, 0.070347, 0.72225, -0.659943)
Vertex 199: (-0.203087, 0.646877, -2.0758, -0.385611, 0.75355, 0.532416, 0.770318, -0.64772)
Vertex 200: (-0.320955, 0.433134, -1.60143, 0, 0.997522, 0.070347, 0.781666, -0.678005)
Vertex 201: (-0.200065, 0.575209, -1.41922, -0.300854, 0.838548, -0.454229, 0.770271, -0.689728)
Vertex 202: (-0.322022, 0.354953, -0.926779, 0, 0.995545, 0.094289, 0.782013, -0.721168)
Vertex 203: (-0.322022, 0.354953, -0.926779, -0.432857, 0.807272, -0.401182, 0.782013, -0.721168)
Vertex 204: (-0.197042, 0.503541, -0.762633, -0.432857, 0.807272, -0.401182, 0.770224, -0.731737)
Vertex 205: (0.305508, 0.384325, -1.2369, 0, 0.652462, 0.757821, 0.722403, -0.701666)
Vertex 206: (0.305508, 0.384325, -1.2369, 0, 0.995545, 0.094289, 0.722403, -0.701666)
Vertex 207: (0.203539, 0.507819, -0.801831, 0, 0.632861, -0.774266, 0.73223, -0.729445)
Vertex 208: (-0.299976, 0.134766, -3.70502, 0, 0.266808, -0.96375, 0.669552, -0.996598)
Vertex 209: (-0.299976, 0.562877, -3.5865, 0, 0.999825, 0.018711, 0.70169, -0.981789)
Vertex 210: (-0.226041, 0.540056, -2.36707, 0, 0.999825, 0.018711, 0.713951, -0.798903)
Vertex 211: (-0.226041, 0.540056, -2.36707, 0, 0.938853, -0.344317, 0.713951, -0.798903)
Vertex 212: (-0.157575, 0.642622, -2.03681, 0, 0, 1, 0.766017, -0.650238)
Vertex 213: (-0.305322, -0.048342, -2.03681, 0, 0.505373, 0.862901, 0.780025, -0.650159)
Vertex 214: (-0.305322, -0.267741, -1.90832, 0, 0.505373, 0.862901, 0.780072, -0.658379)
Vertex 215: (-0.305322, -0.267741, -1.90832, 0, 0.995561, 0.094115, 0.780072, -0.658379)
Vertex 216: (-0.305322, -0.104661, -1.44106, 0, 0.658124, -0.75291, 0.780242, -0.688273)
Vertex 217: (-0.305322, -0.104661, -1.44106, 0, 0, -1, 0.780242, -0.688273)
Vertex 218: (-0.155154, 0.570954, -1.39758, 0, 0, 1, 0.766021, -0.691137)
Vertex 219: (-0.305322, -0.113195, -1.39758, 0, 0.513858, 0.857875, 0.780258, -0.691055)
Vertex 220: (-0.305322, -0.334132, -1.26524, 0, 0.513858, 0.857875, 0.780306, -0.699522)
Vertex 221: (-0.305322, -0.334132, -1.26524, 0, 0.994815, 0.101705, 0.780306, -0.699522)
Vertex 222: (-0.305322, -0.176329, -0.780043, 0, 0.676821, -0.736148, 0.780483, -0.730565)
Vertex 223: (-0.305322, -0.176329, -0.780043, 0, -0.031831, -0.999493, 0.780483, -0.730565)
Vertex 224: (-0.197042, 0.503541, -0.762633, 0, 0.994097, 0.108494, 0.770224, -0.731737)
Vertex 225: (-0.197042, 0.503541, -0.762633, 0, 0.992935, 0.118656, 0.717799, -0.558344)
Vertex 226: (-0.076567, -0.267921, 2.96532, 0, 3.1e-05, 1, 1, -3)
Vertex 227: (-0.076567, -0.267921, 2.96532, 0, -0.99815, 0.060802, 0.736292, -0.158433)
Vertex 228: (-0.380393, -0.399859, -2.16404, -0.000912, -0.9952, -0.097863, 0.686005, -0.768624)
Vertex 229: (-0.380393, -0.399859, -2.16404, -0.000903, -0.985505, -0.169642, 0.686005, -0.768624)
Vertex 230: (-0.299976, 0.134766, -3.70502, 0, -0.888961, -0.457984, 0.701791, -0.999557)
Vertex 231: (-0.157575, 0.642622, -2.03681, 0.91739, -0.196163, 0.346288, 0.766017, -0.650238)
Vertex 232: (-0.251964, 0.433134, -1.60143, 0.994728, -0.101643, -0.013577, 0.775125, -0.678043)
Vertex 233: (-0.155154, 0.579488, -1.44106, 0.889652, -0.100362, -0.445474, 0.766005, -0.688355)
Vertex 234: (-0.251964, 0.433134, -1.60143, 0.889652, -0.100362, -0.445474, 0.775125, -0.678043)
Vertex 235: (-0.155154, 0.570954, -1.39758, 0.920141, -0.201967, 0.335483, 0.766021, -0.691137)
Vertex 236: (-0.252819, 0.354953, -0.926779, 0.994755, -0.101083, -0.015617, 0.775452, -0.721205)
Vertex 237: (-0.152734, 0.507819, -0.801831, 0.821164, -0.075241, -0.565711, 0.766008, -0.729253)
Vertex 238: (-0.252819, 0.354953, -0.926779, 0.821164, -0.075241, -0.565711, 0.775452, -0.721205)
